שם הקורס,הערות,חומרים,חומרים 1,מספר קורס,נקודות זכות,סוג,סטאטוס,סמסטר,פקולטה,ציון(לא לגעת),רמה,רשימת מבחנים,שנה
לוגיקה למדעי המחשב,,,"מאמר מעניין (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%9E%D7%90%D7%9E%D7%A8%20%D7%9E%D7%A2%D7%A0%D7%99%D7%99%D7%9F%208d80420c7fc54710b6cffed9c3f0d95a.md), אם ורק אם (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%90%D7%9D%20%D7%95%D7%A8%D7%A7%20%D7%90%D7%9D%201ca359eafdf643a1af9f897021ef6321.md)",20466,4,חובה,בלימוד,א,מתמטיקה,,ר,לוגיקה למדעי המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20209a68b323174069a078f61b239b1942.md),2020
הסתברות לתלמידי מדעי המחשב,,,,20425,4,חובה,עובר,ג,מתמטיקה,87,ר,הסתברות לתלמידי מדעי המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%94%D7%A1%D7%AA%D7%91%D7%A8%D7%95%D7%AA%20%D7%9C%D7%AA%D7%9C%D7%9E%D7%99%D7%93%D7%99%20%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20ff93abcd01d849acac636436b1a4f113.md),2019
מערכות בסיסי-נתונים,לשקול לקחת בקיץ 2019ג',,,20277,4,בחירה,עובר,ב,מדעי המחשב,90,ר,מערכות בסיסי-נתונים (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%91%D7%A1%D7%99%D7%A1%D7%99-%D7%A0%D7%AA%D7%95%D7%A0%D7%99%D7%9D%20c80a252362364acf847982fe3488e15c.md),2019
ארגון המחשב,,,,20471,3,חובה,עובר,ב,מדעי המחשב,88,ר,ארגון המחשב (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%2044b75dccd7774723b922e3bcb27171c6.md),2019
מערכות ספרתיות,לעשות לפני לוגיקה ואוטומטים,,,20272,3,חובה,עובר,ב,מדעי המחשב,87,ר,מערכות ספרתיות (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%A1%D7%A4%D7%A8%D7%AA%D7%99%D7%95%D7%AA%20e5edffb48c5949689b8a5ea2e97f6660.md),2019
מעבדה בתכנות מערכות,,,,20465,3,חובה,עובר,ב,מדעי המחשב,99,ר,מעבדה בתכנות מערכות (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%9E%D7%A2%D7%91%D7%93%D7%94%20%D7%91%D7%AA%D7%9B%D7%A0%D7%95%D7%AA%20%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%2060b8a3a082d44291b23a912470b621d9.md),2019
חשבון אינפיניטסימלי 2,,,,20475,6,חובה,עובר,א,מתמטיקה,76,ר,חשבון אינפיניטסימלי 2 (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%97%D7%A9%D7%91%D7%95%D7%9F%20%D7%90%D7%99%D7%A0%D7%A4%D7%99%D7%A0%D7%99%D7%98%D7%A1%D7%99%D7%9E%D7%9C%D7%99%202%201f49da25aa3943f2a017be9d31266c68.md),2019
אשנב למתמטיקה‬,,,,4101,6,בחירה,עובר,א,,75,,אשנב למתמטיקה‬ (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%90%D7%A9%D7%A0%D7%91%20%D7%9C%D7%9E%D7%AA%D7%9E%D7%98%D7%99%D7%A7%D7%94%E2%80%AC%20084d007abce44333b723b942f4b80b8b.md),2018
חשבון אינפיניטסימלי 1,,,,20474,6,חובה,עובר,ב,מתמטיקה,86,ר,חשבון אינפיניטסימלי 1 (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%97%D7%A9%D7%91%D7%95%D7%9F%20%D7%90%D7%99%D7%A0%D7%A4%D7%99%D7%A0%D7%99%D7%98%D7%A1%D7%99%D7%9E%D7%9C%D7%99%201%205568c05aa53c4d36961e3b22732649b4.md),2018
מבני נתונים ומבוא לאלגוריתמים,,,,20407,6,חובה,עובר,ב,מדעי המחשב,90,ר,מבני נתונים ומבוא לאלגוריתמים (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%9E%D7%91%D7%A0%D7%99%20%D7%A0%D7%AA%D7%95%D7%A0%D7%99%D7%9D%20%D7%95%D7%9E%D7%91%D7%95%D7%90%20%D7%9C%D7%90%D7%9C%D7%92%D7%95%D7%A8%D7%99%D7%AA%D7%9E%D7%99%D7%9D%20c0149fcd43804ea59405ca13d51812a5.md),2018
אלגברה לינארית 2,,,,20229,4,חובה,עובר,א,מתמטיקה,66,ר,אלגברה לינארית 2 (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%90%D7%9C%D7%92%D7%91%D7%A8%D7%94%20%D7%9C%D7%99%D7%A0%D7%90%D7%A8%D7%99%D7%AA%202%20b38b09505c6847c493ea3600756bfc54.md),2018
מבוא למדעי המחשב ושפת Java,,,,20441,6,חובה,עובר,א,מדעי המחשב,94,ר,מבוא למדעי המחשב ושפת Java (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%9E%D7%91%D7%95%D7%90%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20%D7%95%D7%A9%D7%A4%D7%AA%20Java%20ecfe818d762c4c18a14c2e9a3202a7ea.md),2018
אלגברה לינארית 1,,,סירטונים מעניינים על משוואות לינאריות (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A1%D7%99%D7%A8%D7%98%D7%95%D7%A0%D7%99%D7%9D%20%D7%9E%D7%A2%D7%A0%D7%99%D7%99%D7%A0%D7%99%D7%9D%20%D7%A2%D7%9C%20%D7%9E%D7%A9%D7%95%D7%95%D7%90%D7%95%D7%AA%20%D7%9C%D7%99%D7%A0%D7%90%D7%A8%D7%99%D7%95%D7%AA%2095896db03dee4241a4e9f86ca670860e.md),20109,6,חובה,עובר,א,מתמטיקה,69,ר,אלגברה לינארית 1 (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%90%D7%9C%D7%92%D7%91%D7%A8%D7%94%20%D7%9C%D7%99%D7%A0%D7%90%D7%A8%D7%99%D7%AA%201%20f0f7250d3b96480e948e5115f4d6f395.md),2018
